Hour beginning,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,All days
00:00,25,13,23,17,31,46,59,214
01:00,14,12,15,18,16,49,39,163
02:00,8,10,12,13,15,30,37,125
03:00,7,5,9,8,16,20,29,94
04:00,7,4,8,12,4,19,22,76
05:00,10,3,8,3,5,21,14,64
06:00,6,10,6,8,8,19,9,66
07:00,6,6,7,12,7,10,12,60
08:00,11,6,6,9,9,12,12,65
09:00,9,6,6,8,6,15,8,58
10:00,4,3,8,4,5,7,12,43
11:00,7,14,3,10,9,10,10,63
12:00,8,4,7,9,16,10,12,66
13:00,8,3,13,7,5,17,13,66
14:00,8,15,9,16,15,18,17,98
15:00,14,19,10,20,16,20,19,118
16:00,21,19,23,32,22,29,23,169
17:00,19,31,22,21,31,30,34,188
18:00,20,17,18,31,30,35,34,185
19:00,17,23,26,39,35,49,48,237
20:00,23,26,30,30,42,58,21,230
21:00,25,25,42,31,55,53,58,289
22:00,30,27,24,38,59,58,30,266
23:00,28,28,29,25,60,72,33,275
All hours2,335,329,364,421,517,707,605,3.278
